CHANNEL2,AGE,GENDER,PROVINCE,RACE,total_viewers,avg_duration_minutes,total_views_PerChannel,avg_duration,Viewers_Per_Race
Supersport Live Events,38,male,Gauteng,white,4,1.7575490656666667E9,6,1.7575490656666667E9,6
SuperSport Blitz,38,male,Western Cape,coloured,4,1.7575492305E9,4,1.7575492305E9,4
Channel O,28,male,Limpopo,black,4,1.7575495476E9,5,1.7575495476E9,5
Trace TV,33,male,Western Cape,coloured,4,1.757550126375E9,8,1.757550126375E9,8
Supersport Live Events,31,male,Western Cape,coloured,4,1.75754977375E9,8,1.75754977375E9,8
Supersport Live Events,24,male,Gauteng,indian_asian,4,1.7575490737142856E9,7,1.7575490737142856E9,7
Channel O,40,male,Kwazulu Natal,black,4,1.7575490045E9,6,1.7575490045E9,6
Africa Magic,40,male,Gauteng,black,4,1.7575488242E9,5,1.7575488242E9,5
Supersport Live Events,28,male,Limpopo,indian_asian,4,1.7575498157142856E9,7,1.7575498157142856E9,7
CNN,45,male,Gauteng,white,4,1.757548832E9,4,1.757548832E9,4
Supersport Live Events,27,male,Gauteng,coloured,4,1.7575491044E9,5,1.7575491044E9,5
SuperSport Blitz,31,male,Gauteng,indian_asian,4,1.7575496084E9,5,1.7575496084E9,5
Channel O,26,male,Kwazulu Natal,black,4,1.75755207E9,4,1.75755207E9,4
Supersport Live Events,33,male,Mpumalanga,black,4,1.757549243E9,4,1.757549243E9,4
kykNET,0,None,None,None,4,1.75754890125E9,4,1.75754890125E9,4
ICC Cricket World Cup 2011,39,male,Western Cape,coloured,4,1.7575492694285715E9,7,1.7575492694285715E9,7
Trace TV,27,male,Limpopo,black,4,1.7575492935E9,4,1.7575492935E9,4
Supersport Live Events,47,male,Western Cape,coloured,4,1.75754969625E9,8,1.75754969625E9,8
Supersport Live Events,19,male,Gauteng,white,4,1.7575490668E9,5,1.7575490668E9,5
SuperSport Blitz,24,male,Gauteng,white,4,1.7575490652E9,5,1.7575490652E9,5
ICC Cricket World Cup 2011,35,male,Gauteng,black,4,1.757549807E9,4,1.757549807E9,4
ICC Cricket World Cup 2011,33,male,Western Cape,coloured,4,1.757549466E9,6,1.757549466E9,6
Supersport Live Events,27,male,Gauteng,white,4,1.7575489064E9,5,1.7575489064E9,5
ICC Cricket World Cup 2011,30,male,Kwazulu Natal,indian_asian,4,1.757549878E9,4,1.757549878E9,4
Supersport Live Events,45,male,Western Cape,None,4,1.7575491575E9,4,1.7575491575E9,4
Supersport Live Events,28,male,Gauteng,black,4,1.757549005142857E9,7,1.757549005142857E9,7
Boomerang,24,male,Gauteng,black,4,1.75754951025E9,4,1.75754951025E9,4
Cartoon Network,31,male,Western Cape,coloured,4,1.757548841E9,4,1.757548841E9,4
ICC Cricket World Cup 2011,39,male,Gauteng,black,4,1.7575495924E9,5,1.7575495924E9,5
Trace TV,25,male,Western Cape,coloured,4,1.7575493001E9,10,1.7575493001E9,10
Channel O,25,male,Mpumalanga,black,4,1.7575497228E9,5,1.7575497228E9,5
Africa Magic,44,male,Gauteng,black,4,1.7575491312E9,5,1.7575491312E9,5
Channel O,51,male,Gauteng,black,4,1.7575495179E9,10,1.7575495179E9,10
CNN,32,male,Gauteng,black,4,1.7575489608333333E9,6,1.7575489608333333E9,6
Boomerang,24,male,Mpumalanga,black,4,1.7575494198E9,5,1.7575494198E9,5
Channel O,22,male,Mpumalanga,black,4,1.7575491505E9,6,1.7575491505E9,6
Africa Magic,43,male,Gauteng,black,3,1.7575492345E9,4,1.7575492345E9,4
Cartoon Network,36,male,Western Cape,coloured,3,1.7575512433333333E9,3,1.7575512433333333E9,3
Cartoon Network,25,male,Limpopo,black,3,1.7575488703333333E9,3,1.7575488703333333E9,3
SuperSport Blitz,24,male,Mpumalanga,black,3,1.75754936E9,5,1.75754936E9,5
Trace TV,34,male,Western Cape,black,3,1.757550896E9,3,1.757550896E9,3
CNN,36,male,Gauteng,black,3,1.75754934925E9,4,1.75754934925E9,4
Supersport Live Events,48,male,Gauteng,black,3,1.7575489375E9,4,1.7575489375E9,4
Africa Magic,33,female,Gauteng,black,3,1.757548849E9,3,1.757548849E9,3
ICC Cricket World Cup 2011,31,male,Kwazulu Natal,indian_asian,3,1.7575491345714285E9,7,1.7575491345714285E9,7
Africa Magic,40,male,Kwazulu Natal,black,3,1.757548901E9,3,1.757548901E9,3
Boomerang,20,male,Gauteng,black,3,1.757549166E9,3,1.757549166E9,3
SuperSport Blitz,26,male,Western Cape,coloured,3,1.75754930525E9,4,1.75754930525E9,4
Cartoon Network,24,male,Limpopo,black,3,1.7575490546666667E9,3,1.7575490546666667E9,3
Trace TV,22,male,Western Cape,coloured,3,1.757550069E9,3,1.757550069E9,3
Trace TV,24,male,Limpopo,black,3,1.757549687E9,3,1.757549687E9,3
Cartoon Network,23,male,Western Cape,coloured,3,1.7575488666666667E9,3,1.7575488666666667E9,3
Boomerang,37,male,Western Cape,None,3,1.7575493923333333E9,3,1.7575493923333333E9,3
Supersport Live Events,41,male,North West,white,3,1.7575489865E9,4,1.7575489865E9,4
E! Entertainment,32,male,Western Cape,coloured,3,1.757549854E9,3,1.757549854E9,3
Cartoon Network,29,male,Kwazulu Natal,indian_asian,3,1.7575488133333333E9,3,1.7575488133333333E9,3
Africa Magic,39,male,Western Cape,black,3,1.75754909E9,3,1.75754909E9,3
Supersport Live Events,23,male,Western Cape,coloured,3,1.7575489213333333E9,3,1.7575489213333333E9,3
ICC Cricket World Cup 2011,27,male,Gauteng,white,3,1.75754886E9,4,1.75754886E9,4
Cartoon Network,37,male,Gauteng,white,3,1.757549445E9,5,1.757549445E9,5
Channel O,33,male,Western Cape,coloured,3,1.757549098E9,3,1.757549098E9,3
kykNET,25,male,Gauteng,black,3,1.757549016E9,3,1.757549016E9,3
Boomerang,39,male,Gauteng,black,3,1.757549484E9,3,1.757549484E9,3
ICC Cricket World Cup 2011,42,male,Gauteng,white,3,1.757548918E9,3,1.757548918E9,3
Africa Magic,43,male,Gauteng,coloured,3,1.757548848E9,3,1.757548848E9,3
Boomerang,18,male,Gauteng,white,3,1.7575493E9,3,1.7575493E9,3
ICC Cricket World Cup 2011,35,male,Gauteng,indian_asian,3,1.75754904E9,3,1.75754904E9,3
E! Entertainment,28,male,Western Cape,coloured,3,1.7575491473333333E9,3,1.7575491473333333E9,3
ICC Cricket World Cup 2011,25,male,Limpopo,indian_asian,3,1.757550352E9,5,1.757550352E9,5
Supersport Live Events,33,male,Kwazulu Natal,black,3,1.757549516E9,3,1.757549516E9,3
Channel O,24,male,Limpopo,black,3,1.757549265E9,4,1.757549265E9,4
Cartoon Network,32,male,Gauteng,black,3,1.757548829E9,4,1.757548829E9,4
Boomerang,45,male,Gauteng,black,3,1.75754909975E9,4,1.75754909975E9,4
Africa Magic,30,male,Limpopo,black,3,1.7575488708333333E9,6,1.7575488708333333E9,6
Boomerang,37,male,Gauteng,black,3,1.7575494745E9,4,1.7575494745E9,4
Trace TV,24,male,Gauteng,black,3,1.757549566E9,3,1.757549566E9,3
CNN,47,male,Gauteng,black,3,1.7575494583333333E9,3,1.7575494583333333E9,3
ICC Cricket World Cup 2011,29,male,Gauteng,black,3,1.757548906E9,4,1.757548906E9,4
Africa Magic,33,male,Kwazulu Natal,black,3,1.757548954E9,7,1.757548954E9,7
Channel O,30,male,Kwazulu Natal,black,3,1.7575504452E9,5,1.7575504452E9,5
Cartoon Network,32,male,Gauteng,white,3,1.7575488273333333E9,3,1.7575488273333333E9,3
Boomerang,23,male,Mpumalanga,black,3,1.7575492915E9,4,1.7575492915E9,4
Supersport Live Events,35,male,Gauteng,white,3,1.7575492666666667E9,3,1.7575492666666667E9,3
ICC Cricket World Cup 2011,27,male,Kwazulu Natal,indian_asian,3,1.757549316E9,4,1.757549316E9,4
Cartoon Network,28,male,Western Cape,coloured,3,1.7575491512E9,5,1.7575491512E9,5
SuperSport Blitz,25,male,Eastern Cape,black,3,1.757548872E9,3,1.757548872E9,3
Trace TV,32,male,Kwazulu Natal,black,3,1.7575499115E9,4,1.7575499115E9,4
Supersport Live Events,40,male,Western Cape,coloured,3,1.7575495293333333E9,3,1.7575495293333333E9,3
Boomerang,41,male,Western Cape,coloured,3,1.7575489E9,4,1.7575489E9,4
Africa Magic,34,male,Kwazulu Natal,black,3,1.75754938625E9,4,1.75754938625E9,4
SuperSport Blitz,37,male,Kwazulu Natal,black,3,1.7575488246666667E9,3,1.7575488246666667E9,3
Africa Magic,36,male,Limpopo,black,3,1.7575488503333333E9,3,1.7575488503333333E9,3
Channel O,32,male,Kwazulu Natal,black,3,1.757549886E9,6,1.757549886E9,6
ICC Cricket World Cup 2011,27,male,Mpumalanga,black,3,1.7575490966666667E9,3,1.7575490966666667E9,3
CNN,44,male,Western Cape,coloured,3,1.7575496164E9,5,1.7575496164E9,5
Africa Magic,28,male,Gauteng,black,3,1.757549469E9,3,1.757549469E9,3
Trace TV,30,male,North West,black,3,1.757549305E9,3,1.757549305E9,3
Boomerang,31,male,Western Cape,coloured,3,1.75754883075E9,4,1.75754883075E9,4
Trace TV,25,male,North West,black,3,1.75755014175E9,4,1.75755014175E9,4
Supersport Live Events,30,male,Kwazulu Natal,black,3,1.7575495063333333E9,6,1.7575495063333333E9,6
Trace TV,27,male,Western Cape,coloured,3,1.75754938575E9,4,1.75754938575E9,4
Cartoon Network,18,male,Gauteng,black,3,1.7575488735E9,4,1.7575488735E9,4
SuperSport Blitz,31,male,Limpopo,indian_asian,3,1.757548884E9,3,1.757548884E9,3
SuperSport Blitz,35,male,Gauteng,black,3,1.757548849E9,4,1.757548849E9,4
SuperSport Blitz,39,male,Western Cape,coloured,3,1.75754903E9,3,1.75754903E9,3
E! Entertainment,43,male,Western Cape,coloured,3,1.7575491486666667E9,3,1.7575491486666667E9,3
ICC Cricket World Cup 2011,42,male,Kwazulu Natal,indian_asian,3,1.7575494016E9,5,1.7575494016E9,5
Boomerang,32,male,Mpumalanga,black,3,1.757548863E9,4,1.757548863E9,4
CNN,42,male,Kwazulu Natal,black,3,1.757549173E9,3,1.757549173E9,3
Boomerang,24,male,Kwazulu Natal,coloured,3,1.7575488883333333E9,3,1.7575488883333333E9,3
Boomerang,25,male,Western Cape,coloured,3,1.75754909525E9,4,1.75754909525E9,4
ICC Cricket World Cup 2011,32,male,Gauteng,None,3,1.75754913E9,7,1.75754913E9,7
Trace TV,41,male,Gauteng,indian_asian,3,1.757548857E9,3,1.757548857E9,3
SuperSport Blitz,36,male,Gauteng,indian_asian,3,1.757548942E9,3,1.757548942E9,3
Africa Magic,25,male,Limpopo,black,3,1.757548813E9,3,1.757548813E9,3
Channel O,24,male,Gauteng,white,3,1.757548869E9,3,1.757548869E9,3
Africa Magic,35,male,Mpumalanga,black,3,1.7575489904E9,5,1.7575489904E9,5
Supersport Live Events,32,male,Limpopo,indian_asian,3,1.7575497485E9,4,1.7575497485E9,4
Trace TV,36,male,Western Cape,coloured,3,1.757550951E9,3,1.757550951E9,3
E! Entertainment,27,male,Gauteng,indian_asian,3,1.7575488373333333E9,3,1.7575488373333333E9,3
Channel O,33,male,Mpumalanga,black,3,1.7575497135E9,4,1.7575497135E9,4
E! Entertainment,30,male,Western Cape,white,3,1.757548854E9,3,1.757548854E9,3
SuperSport Blitz,28,male,Gauteng,black,3,1.7575489644E9,5,1.7575489644E9,5
Supersport Live Events,39,male,Gauteng,black,3,1.7575488455E9,8,1.7575488455E9,8
SawSee,23,male,Gauteng,black,3,1.7575488253333333E9,3,1.7575488253333333E9,3
Cartoon Network,26,male,Limpopo,white,3,1.75754886475E9,4,1.75754886475E9,4
Supersport Live Events,28,male,Gauteng,white,3,1.7575493293333333E9,3,1.7575493293333333E9,3
Cartoon Network,32,male,Gauteng,indian_asian,3,1.7575492933333333E9,3,1.7575492933333333E9,3
Africa Magic,24,male,Gauteng,black,3,1.7575491665E9,4,1.7575491665E9,4
Channel O,27,male,Limpopo,black,3,1.757549241E9,8,1.757549241E9,8
SuperSport Blitz,39,male,Gauteng,white,3,1.7575492045E9,4,1.7575492045E9,4
Supersport Live Events,28,male,Mpumalanga,black,3,1.7575488226666667E9,3,1.7575488226666667E9,3
ICC Cricket World Cup 2011,41,male,Limpopo,indian_asian,3,1.7575511008E9,5,1.7575511008E9,5
Vuzu,0,None,None,None,3,1.757548816E9,3,1.757548816E9,3
SuperSport Blitz,44,male,Limpopo,black,3,1.7575489445E9,4,1.7575489445E9,4
SuperSport Blitz,29,male,Kwazulu Natal,black,3,1.7575489066666667E9,3,1.7575489066666667E9,3
ICC Cricket World Cup 2011,28,male,Gauteng,black,3,1.7575488806666667E9,3,1.7575488806666667E9,3
Trace TV,27,female,Gauteng,black,3,1.757551607E9,3,1.757551607E9,3
Supersport Live Events,25,male,Gauteng,indian_asian,3,1.75754897E9,4,1.75754897E9,4
Boomerang,35,male,Mpumalanga,black,3,1.7575488724285715E9,7,1.7575488724285715E9,7
CNN,27,male,Mpumalanga,black,3,1.7575488716666667E9,3,1.7575488716666667E9,3
SuperSport Blitz,32,male,Gauteng,white,3,1.7575491823333333E9,6,1.7575491823333333E9,6
SuperSport Blitz,33,male,Gauteng,black,3,1.7575489193333333E9,3,1.7575489193333333E9,3
Trace TV,35,male,Western Cape,coloured,3,1.757550248E9,6,1.757550248E9,6
Boomerang,38,male,Western Cape,coloured,3,1.7575492583333333E9,3,1.7575492583333333E9,3
CNN,44,male,Gauteng,black,3,1.7575493982857144E9,7,1.7575493982857144E9,7
Cartoon Network,26,male,Limpopo,black,3,1.75754903525E9,4,1.75754903525E9,4
Trace TV,29,male,Gauteng,white,3,1.7575489785E9,6,1.7575489785E9,6
E! Entertainment,25,male,North West,black,3,1.757548944E9,3,1.757548944E9,3
Channel O,28,male,Gauteng,coloured,3,1.7575505922E9,5,1.7575505922E9,5
Cartoon Network,21,male,Mpumalanga,white,3,1.75754882275E9,4,1.75754882275E9,4
SuperSport Blitz,41,male,Mpumalanga,black,3,1.757548981142857E9,7,1.757548981142857E9,7
Supersport Live Events,28,male,Eastern Cape,coloured,3,1.757549794E9,6,1.757549794E9,6
Boomerang,29,male,Gauteng,black,3,1.7575489284E9,5,1.7575489284E9,5
Boomerang,25,male,Gauteng,indian_asian,3,1.757549258E9,4,1.757549258E9,4
Supersport Live Events,30,male,Gauteng,white,3,1.75755198825E9,8,1.75755198825E9,8
Trace TV,35,male,Gauteng,white,3,1.75754892E9,3,1.75754892E9,3
Supersport Live Events,47,male,Gauteng,white,3,1.7575544873333333E9,3,1.7575544873333333E9,3
ICC Cricket World Cup 2011,48,male,Western Cape,coloured,3,1.757548938E9,3,1.757548938E9,3
Trace TV,24,male,Mpumalanga,black,3,1.757549504E9,3,1.757549504E9,3
Supersport Live Events,34,male,Western Cape,None,3,1.7575490753333333E9,3,1.7575490753333333E9,3
Boomerang,34,male,Gauteng,black,3,1.75754896E9,3,1.75754896E9,3
CNN,32,male,Gauteng,indian_asian,3,1.7575488316666667E9,3,1.7575488316666667E9,3
SuperSport Blitz,26,male,Mpumalanga,black,3,1.757549166E9,3,1.757549166E9,3
Trace TV,41,male,Gauteng,black,3,1.757548918E9,3,1.757548918E9,3
SuperSport Blitz,44,male,Western Cape,coloured,3,1.75754949E9,3,1.75754949E9,3
Trace TV,32,male,Western Cape,coloured,3,1.757548986E9,3,1.757548986E9,3
Boomerang,30,male,Gauteng,indian_asian,3,1.75754886425E9,4,1.75754886425E9,4
Trace TV,30,male,Western Cape,white,3,1.757548971E9,3,1.757548971E9,3
Supersport Live Events,43,male,Gauteng,None,3,1.7575505345E9,4,1.7575505345E9,4
Boomerang,27,male,Western Cape,coloured,3,1.7575488904E9,5,1.7575488904E9,5
Supersport Live Events,27,male,Gauteng,indian_asian,3,1.7575501445E9,4,1.7575501445E9,4
Africa Magic,41,male,Gauteng,black,3,1.7575488572E9,5,1.7575488572E9,5
SuperSport Blitz,43,male,Kwazulu Natal,black,3,1.757549002E9,4,1.757549002E9,4
SuperSport Blitz,48,male,Western Cape,coloured,3,1.757549092E9,7,1.757549092E9,7
Africa Magic,27,male,North West,black,3,1.7575488333333333E9,3,1.7575488333333333E9,3
Supersport Live Events,44,male,Gauteng,white,3,1.7575526533333333E9,3,1.7575526533333333E9,3
Channel O,21,male,Gauteng,black,3,1.757548985E9,3,1.757548985E9,3
SuperSport Blitz,39,male,Kwazulu Natal,black,3,1.7575489206666667E9,3,1.7575489206666667E9,3
Africa Magic,38,male,Kwazulu Natal,black,3,1.75754906175E9,4,1.75754906175E9,4
ICC Cricket World Cup 2011,43,male,Gauteng,None,3,1.7575497853333333E9,3,1.7575497853333333E9,3
Supersport Live Events,26,male,Limpopo,indian_asian,3,1.7575512103333333E9,6,1.7575512103333333E9,6
Channel O,26,male,Mpumalanga,black,3,1.757549829E9,5,1.757549829E9,5
Africa Magic,45,male,Gauteng,black,3,1.757548948E9,3,1.757548948E9,3
Supersport Live Events,26,male,Gauteng,black,3,1.7575493373333333E9,3,1.7575493373333333E9,3
Cartoon Network,33,male,Gauteng,white,3,1.757549129E9,4,1.757549129E9,4
Supersport Live Events,31,male,Mpumalanga,black,3,1.7575495105E9,4,1.7575495105E9,4
ICC Cricket World Cup 2011,34,male,Gauteng,black,3,1.7575489906666667E9,3,1.7575489906666667E9,3
ICC Cricket World Cup 2011,41,male,Western Cape,coloured,3,1.7575490853333333E9,3,1.7575490853333333E9,3
ICC Cricket World Cup 2011,28,male,Mpumalanga,indian_asian,3,1.7575505666666667E9,3,1.7575505666666667E9,3
Supersport Live Events,48,male,Western Cape,coloured,3,1.7575496824E9,5,1.7575496824E9,5
Africa Magic,30,male,Mpumalanga,black,3,1.757548819E9,3,1.757548819E9,3
Channel O,31,male,Western Cape,coloured,3,1.757548822E9,3,1.757548822E9,3
Supersport Live Events,50,male,Western Cape,None,3,1.757549531E9,4,1.757549531E9,4
ICC Cricket World Cup 2011,45,male,Gauteng,black,3,1.7575491333333333E9,3,1.7575491333333333E9,3
ICC Cricket World Cup 2011,44,male,Gauteng,black,3,1.75754956E9,3,1.75754956E9,3
ICC Cricket World Cup 2011,23,male,Gauteng,None,3,1.7575499215E9,4,1.7575499215E9,4
Channel O,42,male,Gauteng,black,3,1.7575498674E9,5,1.7575498674E9,5
Africa Magic,35,male,Kwazulu Natal,black,3,1.7575488016666667E9,3,1.7575488016666667E9,3
ICC Cricket World Cup 2011,26,male,Western Cape,coloured,3,1.757548842E9,3,1.757548842E9,3
Boomerang,35,male,Gauteng,black,3,1.7575491705E9,6,1.7575491705E9,6
CNN,52,male,Gauteng,white,3,1.7575492186666667E9,3,1.7575492186666667E9,3
Supersport Live Events,44,male,Gauteng,black,3,1.7575490933333333E9,3,1.7575490933333333E9,3
Channel O,21,male,Mpumalanga,black,3,1.757549349E9,9,1.757549349E9,9
SuperSport Blitz,41,male,Kwazulu Natal,black,3,1.757548932E9,3,1.757548932E9,3
CNN,39,male,Gauteng,black,3,1.7575507133333333E9,3,1.7575507133333333E9,3
ICC Cricket World Cup 2011,36,male,Kwazulu Natal,indian_asian,3,1.7575490635E9,4,1.7575490635E9,4
E! Entertainment,32,male,Gauteng,indian_asian,3,1.7575493773333333E9,3,1.7575493773333333E9,3
Break in transmission,34,male,Gauteng,black,3,1.7575488363333333E9,3,1.7575488363333333E9,3
Channel O,33,male,Eastern Cape,black,3,1.7575490297142856E9,7,1.7575490297142856E9,7
Trace TV,41,male,Kwazulu Natal,None,3,1.7575489485E9,4,1.7575489485E9,4
Boomerang,33,male,Gauteng,black,3,1.7575491896666667E9,3,1.7575491896666667E9,3
ICC Cricket World Cup 2011,49,male,Gauteng,black,3,1.7575500353333333E9,3,1.7575500353333333E9,3
Supersport Live Events,47,male,Gauteng,black,3,1.757548848E9,4,1.757548848E9,4
ICC Cricket World Cup 2011,41,male,Gauteng,indian_asian,3,1.7575500092E9,10,1.7575500092E9,10
ICC Cricket World Cup 2011,29,male,Gauteng,white,3,1.7575509264E9,5,1.7575509264E9,5
E! Entertainment,25,male,Limpopo,black,3,1.7575497146666667E9,3,1.7575497146666667E9,3
Africa Magic,23,male,Gauteng,black,3,1.7575488623333333E9,6,1.7575488623333333E9,6
Supersport Live Events,43,male,Gauteng,white,3,1.7575499226666667E9,3,1.7575499226666667E9,3
SuperSport Blitz,31,male,Kwazulu Natal,black,3,1.757548826E9,3,1.757548826E9,3
Channel O,39,male,Kwazulu Natal,black,3,1.757550915E9,3,1.757550915E9,3
Break in transmission,30,male,Western Cape,black,3,1.7575490786666667E9,3,1.7575490786666667E9,3
ICC Cricket World Cup 2011,34,male,Kwazulu Natal,indian_asian,3,1.7575492913333333E9,3,1.7575492913333333E9,3
CNN,27,male,Gauteng,indian_asian,3,1.7575488666666667E9,3,1.7575488666666667E9,3
ICC Cricket World Cup 2011,36,male,Eastern Cape,white,3,1.757549568E9,3,1.757549568E9,3
Cartoon Network,31,female,Gauteng,black,3,1.7575494473333333E9,3,1.7575494473333333E9,3
Supersport Live Events,36,male,Gauteng,indian_asian,3,1.7575490173333333E9,3,1.7575490173333333E9,3
Supersport Live Events,39,male,Western Cape,None,3,1.75754933375E9,8,1.75754933375E9,8
Supersport Live Events,34,male,Gauteng,black,3,1.757549137E9,4,1.757549137E9,4
Boomerang,36,male,Gauteng,black,3,1.7575489165E9,8,1.7575489165E9,8
Trace TV,24,male,Free State,black,3,1.7575491735E9,4,1.7575491735E9,4
Cartoon Network,18,male,Eastern Cape,coloured,3,1.757548881E9,5,1.757548881E9,5
Break in transmission,0,None,None,None,3,1.7575488153333333E9,3,1.7575488153333333E9,3
Supersport Live Events,34,male,Gauteng,indian_asian,3,1.757548962E9,3,1.757548962E9,3
SuperSport Blitz,47,male,North West,black,3,1.757549528E9,5,1.757549528E9,5
Supersport Live Events,21,male,Gauteng,white,3,1.7575504644E9,5,1.7575504644E9,5
Africa Magic,21,male,Mpumalanga,black,3,1.75754909E9,3,1.75754909E9,3
Channel O,33,male,Kwazulu Natal,black,3,1.757549107E9,9,1.757549107E9,9
ICC Cricket World Cup 2011,25,male,Western Cape,coloured,3,1.7575491913333333E9,3,1.7575491913333333E9,3
SuperSport Blitz,28,male,Mpumalanga,black,3,1.757548997E9,6,1.757548997E9,6
SuperSport Blitz,40,male,Limpopo,black,3,1.7575488826666667E9,3,1.7575488826666667E9,3
ICC Cricket World Cup 2011,23,male,Western Cape,coloured,3,1.757549576E9,5,1.757549576E9,5
ICC Cricket World Cup 2011,24,male,Gauteng,white,3,1.7575492613333333E9,6,1.7575492613333333E9,6
Channel O,32,male,Mpumalanga,black,3,1.757548905E9,7,1.757548905E9,7
Channel O,20,male,Gauteng,black,3,1.757549032E9,3,1.757549032E9,3
Supersport Live Events,41,male,Gauteng,indian_asian,3,1.7575494104E9,10,1.7575494104E9,10
Africa Magic,46,male,Gauteng,black,3,1.7575495975E9,4,1.7575495975E9,4
Supersport Live Events,26,male,Western Cape,black,3,1.757548942E9,5,1.757548942E9,5
Trace TV,18,male,Gauteng,black,3,1.75754911725E9,8,1.75754911725E9,8
Cartoon Network,45,male,Gauteng,black,3,1.757549493E9,3,1.757549493E9,3
Africa Magic,27,male,Gauteng,coloured,3,1.7575489645E9,4,1.7575489645E9,4
ICC Cricket World Cup 2011,42,male,Gauteng,None,3,1.757549796E9,3,1.757549796E9,3
Vuzu,25,male,Gauteng,black,3,1.7575488423333333E9,3,1.7575488423333333E9,3
CNN,38,male,Gauteng,black,3,1.757549649E9,3,1.757549649E9,3
E! Entertainment,34,male,Gauteng,indian_asian,3,1.7575511126666667E9,3,1.7575511126666667E9,3
Supersport Live Events,38,male,Western Cape,None,3,1.757548828E9,3,1.757548828E9,3
ICC Cricket World Cup 2011,34,male,Western Cape,None,3,1.757549634E9,4,1.757549634E9,4
CNN,46,male,Gauteng,black,3,1.7575490175714285E9,7,1.7575490175714285E9,7
Trace TV,30,male,Eastern Cape,coloured,3,1.7575493388E9,5,1.7575493388E9,5
Supersport Live Events,25,male,Gauteng,coloured,3,1.7575491323333333E9,6,1.7575491323333333E9,6
CNN,45,male,Western Cape,coloured,3,1.7575493396666667E9,3,1.7575493396666667E9,3
Africa Magic,42,female,Gauteng,black,3,1.757548947E9,3,1.757548947E9,3
Channel O,23,male,Limpopo,black,3,1.757549214E9,7,1.757549214E9,7
Trace TV,22,male,Gauteng,coloured,3,1.757549152E9,3,1.757549152E9,3
Africa Magic,52,male,Mpumalanga,black,3,1.7575491238888888E9,9,1.7575491238888888E9,9
SuperSport Blitz,28,male,Kwazulu Natal,black,3,1.7575489106666667E9,3,1.7575489106666667E9,3
SuperSport Blitz,45,male,Gauteng,white,3,1.7575488506666667E9,3,1.7575488506666667E9,3
Trace TV,34,male,Kwazulu Natal,indian_asian,3,1.757549007E9,3,1.757549007E9,3
Cartoon Network,41,male,Western Cape,coloured,3,1.7575488363333333E9,3,1.7575488363333333E9,3
E! Entertainment,33,male,Gauteng,black,3,1.757548936E9,3,1.757548936E9,3
ICC Cricket World Cup 2011,32,male,Gauteng,black,3,1.7575490333333333E9,3,1.7575490333333333E9,3
Channel O,27,male,North West,black,3,1.757549398E9,3,1.757549398E9,3
SuperSport Blitz,25,male,Gauteng,coloured,3,1.75754909E9,4,1.75754909E9,4
Supersport Live Events,32,male,Gauteng,None,3,1.7575490432E9,5,1.7575490432E9,5
Channel O,32,female,Gauteng,black,3,1.75755224775E9,4,1.75755224775E9,4
SuperSport Blitz,38,male,Gauteng,black,3,1.7575490353333333E9,3,1.7575490353333333E9,3
Supersport Live Events,40,male,Gauteng,white,3,1.757550588E9,3,1.757550588E9,3
Channel O,25,male,Kwazulu Natal,black,3,1.757548867E9,3,1.757548867E9,3
ICC Cricket World Cup 2011,43,male,Western Cape,coloured,3,1.75755090525E9,8,1.75755090525E9,8
Supersport Live Events,33,male,Limpopo,indian_asian,3,1.757549458E9,6,1.757549458E9,6
Africa Magic,40,male,North West,black,3,1.757548868E9,6,1.757548868E9,6
M-Net,0,None,None,None,3,1.7575489313333333E9,3,1.7575489313333333E9,3
Trace TV,31,male,Western Cape,coloured,3,1.7575494555E9,4,1.7575494555E9,4
Boomerang,22,male,Gauteng,black,3,1.7575491765E9,4,1.7575491765E9,4
Cartoon Network,22,male,Western Cape,None,3,1.7575488303333333E9,3,1.7575488303333333E9,3
ICC Cricket World Cup 2011,37,male,Gauteng,indian_asian,3,1.7575509976E9,5,1.7575509976E9,5
Boomerang,27,male,Mpumalanga,black,3,1.757548936E9,3,1.757548936E9,3
SuperSport Blitz,26,male,Gauteng,indian_asian,3,1.7575490184E9,5,1.7575490184E9,5
Cartoon Network,19,male,Gauteng,white,3,1.7575489946666667E9,3,1.7575489946666667E9,3
Supersport Live Events,39,male,Gauteng,white,3,1.7575488615E9,4,1.7575488615E9,4
Africa Magic,25,male,Gauteng,black,3,1.75754885725E9,4,1.75754885725E9,4
CNN,31,male,Gauteng,indian_asian,3,1.7575488376666667E9,3,1.7575488376666667E9,3
SuperSport Blitz,32,male,Gauteng,indian_asian,3,1.75754907E9,3,1.75754907E9,3
Africa Magic,26,male,Limpopo,black,3,1.7575488206666667E9,3,1.7575488206666667E9,3
Boomerang,37,male,Gauteng,white,3,1.75754893225E9,4,1.75754893225E9,4
Africa Magic,41,male,Gauteng,coloured,3,1.7575493294E9,5,1.7575493294E9,5
Cartoon Network,32,female,Kwazulu Natal,black,2,1.7575488E9,2,1.7575488E9,2
SawSee,25,male,North West,black,2,1.7575488095E9,2,1.7575488095E9,2
SuperSport Blitz,39,male,Gauteng,coloured,2,1.757548986E9,2,1.757548986E9,2
Trace TV,29,female,Limpopo,black,2,1.757548953E9,2,1.757548953E9,2
Cartoon Network,27,male,Eastern Cape,white,2,1.757550089E9,2,1.757550089E9,2
Channel O,43,male,Western Cape,coloured,2,1.757548917E9,5,1.757548917E9,5
